date,trial_#,food_starve,mass,loops,include,total_distance_recorded,notes2
3/21/2018,317,fed,0.226,0,1,28,28 cm
3/21/2018,318,fed,0.254,0,1,12,12 cm
3/21/2018,319,fed,0.235,1,1,291,291 cm
3/21/2018,320,fed,0.266,0,1,19,19 cm
3/21/2018,321,fed,0.34,.,0,9,9 cm
3/26/2018,322,fed,0.214,0,1,50,"50 cm, froze around 525 sec"
3/26/2018,323,fed,0.21,1,1,55,55 cm
3/27/2018,324,fed,0.223,.,0,10,"10 cm, not during stim 2"
3/27/2018,325,fed,0.33,1,1,93,93 cm
3/27/2018,326,fed,0.334,0,1,88,"88 cm, froze around 525 sec"
3/27/2018,327,fed,0.227,.,0,4,4 cm
3/27/2018,328,fed,0.335,.,0,5,5 cm
3/27/2018,329,fed,0.311,0,1,169,169 cm
3/27/2018,330,fed,0.242,.,0,9,9 cm
3/27/2018,331,fed,0.27,0,1,123,123 cm
3/27/2018,332,fed,0.231,.,0,10,"10 cm, but not during stim 2"
3/27/2018,333,fed,0.292,0,1,272,272 cm
3/28/2018,334,fed,0.268,.,0,17,"17 cm, but not during stim 2"
3/28/2018,335,fed,0.277,.,0,8,8 cm
3/28/2018,336,fed,0.233,0,1,80,80 cm
3/28/2018,337,fed,0.284,.,0,18,"18 cm, but not during stim 2"
3/28/2018,338,fed,0.286,0,1,85,85 cm
3/28/2018,339,fed,0.261,0,1,274,274 cm
3/28/2018,340,fed,0.316,0,1,107,107 cm
3/28/2018,341,fed,0.223,0,1,138,138 cm
3/29/2018,342,starved_48,0.293,0,1,47,47 cm
3/29/2018,343,starved_48,0.22,0,1,133,133 cm
3/29/2018,344,starved_48,0.208,0,1,154,154 cm
3/29/2018,345,starved_48,0.198,1,1,181,181 cm
3/29/2018,346,starved_48,0.218,.,0,3,3 cm
4/4/2018,347,starved_48,0.225,1,1,426,426 cm
4/4/2018,348,starved_48,0.194,.,0,17,"17 cm, but not during stim 2"
4/4/2018,349,starved_48,0.161,0,1,456,456 cm
4/4/2018,350,starved_48,0.224,.,0,16,"16 cm, not during stim 2"
4/4/2018,351,starved_48,0.354,0,1,149,149 cm
4/4/2018,352,starved_48,0.187,0,1,124,124 cm
4/4/2018,353,starved_48,0.293,0,1,111,111 cm
4/5/2018,354,starved_48,0.174,0,1,526,526 cm
